Phase-Out,Net-Zero,Retrofitting,Lightweighting,Modal Shift,Scrap Age,Regulated EV manufacture,Emissions,Energy
2025,2020,0, 1120, 20,16,0,129.53637638924354,2023636030571.419
2025,2020,0, 1120, 20,16,1,102.01039269753777,2012645615571.419
2025,2020,0, 1120, 20,14,0,127.9047914904091,2022882780972.0283
2025,2020,0, 1120, 20,14,1,98.89141010496165,2010905660972.0283
2025,2020,0, 1120, 20,12,0,126.38292960102903,2027528155866.504
2025,2020,0, 1120, 20,12,1,96.30054693601076,2014380695866.504
2025,2020,0, 1120, 20,10,0,124.69045383801823,2036137431056.873
2025,2020,0, 1120, 20,10,1,93.95946352526822,2021638606056.873
2025,2020,0, 1120, 0,20,0,122.2125638962984,1843601295679.9497
2025,2020,0, 1120, 0,20,1,102.10329563807596,1836177600679.9497
2025,2020,0, 1120, 0,18,0,118.03781593839942,1812790964761.6921
2025,2020,0, 1120, 0,18,1,96.87388795453448,1804919869761.6921
