Phase-Out:,Net-zero:,Retro-fitting:,Light-weighting:,Modal shift:,Scrap age:,Regulated EV manufacture:,Modal shift rate (years):,Cumulative Electric Emissions,Cumulative Tailpipe Emissions,Cumulative WTT Emissions,Cumulative EV Production Emissions,Cumulative ICE Production Emissions,Cumulative Conversion Production Emissions,Cumulative Electric Energy,Cumulative Tailpipe Energy,Cumulative WTT Energy,Cumulative EV Production Energy,Cumulative ICE Production Energy,Cumulative Conversion Production Energy
2025,2020,0.2,840,-50,10,1,5,1.484181382861557,27.622116849662074,7.466268642914901,10.183553178965829,1.0667552547583332,2.491672535788334,80768950014.99179,421173892640.1411,96632488365.13667,197070392000.0,25604020000.0,49587682000
2025,2020,0.2,840,-50,10,1,5,1.6896681279442913,27.622116849662074,7.466268642914901,10.183553178965829,1.0667552547583332,2.491672535788334,91987940851.24858,421173892640.1411,96632488365.13667,197070392000.0,25604020000.0,49587682000
2025,2020,0.2,840,-50,10,1,5,1.8951660430866553,27.622116849662074,7.466268642914901,10.183553178965829,1.0667552547583332,2.491672535788334,103206931687.50563,421173892640.1411,96632488365.13667,197070392000.0,25604020000.0,49587682000
2025,2020,0.2,840,-50,10,1,5,2.100675943985997,27.622116849662074,7.466268642914901,10.183553178965829,1.0667552547583332,2.491672535788334,114425922523.76309,421173892640.1411,96632488365.13667,197070392000.0,25604020000.0,49587682000
2025,2020,0.2,840,-50,10,1,5,2.3061720094299982,27.622116849662074,7.466268642914901,10.183553178965829,1.0667552547583332,2.491672535788334,125644913360.02017,421173892640.1411,96632488365.13667,197070392000.0,25604020000.0,49587682000
2025,2020,0.2,840,-50,10,1,5,2.511656839369999,27.622116849662074,7.466268642914901,10.191593698293328,1.0667552547583332,2.491672535788334,136863904196.27725,421173892640.1411,96632488365.13667,197225584000.0,25604020000.0,49587682000
2025,2020,0.2,840,-50,10,1,5,2.717091109542,27.622116849662074,7.466268642914901,10.239836814258329,1.0667552547583332,2.491672535788334,148082895032.53433,421173892640.1411,96632488365.13667,198156736000.0,25604020000.0,49587682000
2025,2020,0.2,840,-50,10,1,5,2.922424260178001,27.622116849662074,7.466268642914901,10.384566162153329,1.0667552547583332,2.491672535788334,159301885868.7914,421173892640.1411,96632488365.13667,200950192000.0,25604020000.0,49587682000
2025,2020,0.2,840,-50,10,1,5,3.1276562912780017,27.622116849662074,7.466268642914901,10.674024857943328,1.0667552547583332,2.491672535788334,170520876705.0485,421173892640.1411,96632488365.13667,206537104000.0,25604020000.0,49587682000
2025,2020,0.2,840,-50,10,1,5,3.3328883223780026,27.622116849662074,7.466268642914901,11.003686150370827,1.0667552547583332,2.491672535788334,181739867541.30557,421173892640.1411,96632488365.13667,212899976000.0,25604020000.0,49587682000
2025,2020,0.2,840,-50,10,1,5,3.5381203534780035,27.622116849662074,7.466268642914901,11.550441464640826,1.0667552547583332,2.491672535788334,192958858377.56265,421173892640.1411,96632488365.13667,223453032000.0,25604020000.0,49587682000
2025,2020,0.2,840,-50,10,1,5,3.7433523845780043,27.622116849662074,7.466268642914901,12.129358856220826,1.0667552547583332,2.491672535788334,204177849213.81973,421173892640.1411,96632488365.13667,234626856000.0,25604020000.0,49587682000
