,Count,Phase-Out:,Net-zero:,Retro-fitting:,Light-weighting:,Modal shift:,Scrap age:,Regulated EV manufacture:,Modal shift rate (years):,Cumulative Electric Emissions,Cumulative Tailpipe Emissions,Cumulative WTT Emissions,Cumulative EV Production Emissions,Cumulative ICE Production Emissions,Cumulative Conversion Production Emissions,Cumulative Electric Energy,Cumulative Tailpipe Energy,Cumulative WTT Energy,Cumulative EV Production Energy,Cumulative ICE Production Energy,Cumulative Conversion Production Energy
0,0,2025,2020,0.2,840,-76,10,1,7,1.9502103137027418,25.501390116581593,6.8943519867950815,7.187965823673324,0.39301509385833344,1.5736879173399998,106516285234.49449,388871896563.18164,89038024454.69405,138970832000.0,9433060000.0,31318536000
0,0,2025,2020,0.2,840,-78,10,1,7,1.7819647782747934,25.194918407682017,6.812481025693202,6.69912809407249,0.34809908313166676,1.5115686574449998,97336033047.5775,384224077869.31836,87947798737.32944,129512240000.0,8354996000.0,30082278000
0,0,2025,2020,0.2,840,-80,10,1,7,1.6151905874676356,24.876799625650666,6.728107832514295,6.465953033574991,0.29756857106416673,1.4356451175733331,88232599581.85555,379415457849.2887,86813883044.31377,125011672000.0,7142174000.0,28571296000
0,0,2025,2020,0.2,840,-82,10,1,7,1.45007786355061,24.548042219618317,6.640439472761728,6.203883794520825,0.25265256033750005,1.3666237176899998,79217758567.75046,374433718741.13617,85644307570.07158,119906576000.0,6064110000.0,27197676000
0,0,2025,2020,0.2,840,-84,10,1,7,1.2828155895192306,24.229709214719005,6.555589127976437,5.978749253350824,0.21335105095166668,1.2837980378299998,70091029623.71913,369610935505.2629,84513383022.30086,115561200000.0,5120804000.0,25549332000
0,0,2025,2020,0.2,840,-86,10,1,7,1.1204200755534417,23.878659592313564,6.462207409254191,5.707005545592492,0.1628205388841667,1.2423851978999998,61220511356.191284,364297406687.1242,83263494088.00685,110292792000.0,3907982000.0,24725160000
0,0,2025,2020,0.2,840,-88,10,1,7,0.9575273268782223,23.526435344929933,6.3698286075173405,5.45938339581666,0.14036253352083336,1.1733637980166665,52320904896.408325,359000287029.4093,82004473930.10059,105489960000.0,3368950000.0,23351540000
0,0,2025,2020,0.2,840,-90,10,1,7,0.7958082347006997,23.16219912900667,6.274863557186159,5.187639688058327,0.12351902949833335,1.1250488180983331,43484840184.07155,353537182088.009,80699634397.52469,100221552000.0,2964676000.0,22390006000
0,0,2025,2020,0.2,840,-50,10,1,9,4.223287368661997,30.44356066552727,8.224471408398689,13.319355716690824,1.0667552547583332,2.491672535788334,230368537790.15958,464079175490.70325,106544681542.62045,257595272000.0,25604020000.0,49587682000
0,0,2025,2020,0.2,840,-52,10,1,9,4.048954298472413,30.255499116638383,8.17368253989394,13.001002842344155,1.0218392440316666,2.408846855928334,220871397581.8416,461212818289.9658,105872343726.73015,251403832000.0,24525956000.0,47939338000
0,0,2025,2020,0.2,840,-54,10,1,9,3.879977204511741,30.032369898696892,8.113587418448954,12.656894460638322,0.9544652279416667,2.346727596033334,211654454907.72705,457816244457.40607,105073291505.49826,244738696000.0,22908860000.0,46703080000
0,0,2025,2020,0.2,840,-56,10,1,9,3.70635154277383,29.840267574480006,8.061280910457107,12.322460547636654,0.909549217215,2.270804056161667,202191917941.89984,454877217548.6037,104389068950.90253,238236872000.0,21830796000.0,45192098000
0,0,2025,2020,0.2,840,-58,10,1,9,3.532139013349688,29.649637012035516,8.009452637803935,11.888272503951654,0.8590187051475001,2.19488051629,192716680603.9826,451962721792.7599,103710589752.36526,229856504000.0,20617974000.0,43681116000
0,0,2025,2020,0.2,840,-60,10,1,9,3.359392342815509,29.445812066378867,7.95446169261087,11.373679266991653,0.802873691739167,2.139663396383334,183322747789.29874,448857536620.5675,102982609386.7464,219924216000.0,19270394000.0,42582220000
0,0,2025,2020,0.2,840,-62,10,1,9,3.186150605205691,29.247431225667068,7.900617929360868,10.843004991376654,0.7523431796716669,2.0775441364883336,173899021026.43054,445826930948.6213,102276662786.96602,209681544000.0,18057572000.0,41345962000
0,0,2025,2020,0.2,840,-64,10,1,9,3.0150882288288665,29.034780507391577,7.843703085911946,10.317232563891652,0.7018126676041668,1.9947184566283331,164572702213.44034,442599173513.4211,101514079237.76347,199463232000.0,16844750000.0,39697618000
0,0,2025,2020,0.2,840,-66,10,1,9,2.843228186500475,28.828094902535724,7.787640848403882,9.786558288276654,0.6512821555366669,1.9187949167566665,155206209366.58826,439442622992.315,100779004146.93648,189220560000.0,15631928000.0,38186636000
0,0,2025,2020,0.2,840,-68,10,1,9,2.672212261511792,28.614693532929667,7.729685357993256,9.28163952002082,0.6007516434691669,1.8428713768849998,145882576063.11777,436181645685.2422,100019693202.25621,179451584000.0,14419106000.0,36675654000
0,0,2025,2020,0.2,840,-70,10,1,9,2.500481412972213,28.404245551701802,7.673195299833189,8.759005763733322,0.5502211314016668,1.7669478370133331,136518354924.21408,432983040406.7495,99268239759.12138,169364104000.0,13206284000.0,35164672000
0,0,2025,2020,0.2,840,-72,10,1,9,2.331421256011445,28.17513125081236,7.611468126175619,8.244412526773322,0.4940761179933335,1.7048285771183331,127295290839.7078,429494836584.7472,98451452706.13826,159431816000.0,11858704000.0,33928414000
0,0,2025,2020,0.2,840,-74,10,1,9,2.161672328375407,27.951275242868668,7.5507877676398465,7.7073316812074895,0.4435456059258335,1.6427093172233331,118040111762.30751,426077075802.88654,97655296516.94122,149042072000.0,10645882000.0,32692156000
0,0,2025,2020,0.2,840,-76,10,1,9,1.9939009484669783,27.715226363153576,7.487271188384046,7.187965823673324,0.39301509385833344,1.5736879173399998,108889220431.51483,422485345190.4487,96813012136.13348,138970832000.0,9433060000.0,31318536000
0,0,2025,2020,0.2,840,-78,10,1,9,1.8248163637661288,27.48385610020241,7.425396121291515,6.69912809407249,0.34809908313166676,1.5115686574449998,99664716836.59692,418974748384.00146,95985992934.93544,129512240000.0,8354996000.0,30082278000
0,0,2025,2020,0.2,840,-80,10,1,9,1.6571206122785551,27.241366872648257,7.361269663560991,6.465953033574991,0.29756857106416673,1.4356451175733331,90512155622.74258,415314212193.43976,95116493799.9773,125011672000.0,7142174000.0,28571296000
0,0,2025,2020,0.2,840,-82,10,1,9,1.4909664830715081,26.990010852632135,7.294197542937956,6.203883794520825,0.25265256033750005,1.3666237176899998,81441452576.03735,411504209396.28107,94217981996.13858,119906576000.0,6064110000.0,27197676000
0,0,2025,2020,0.2,840,-84,10,1,9,1.3220467616633695,26.753002346334178,7.23102098474971,5.978749253350824,0.21335105095166668,1.2837980378299998,72226350628.36697,407913426132.46075,93372042599.54123,115561200000.0,5120804000.0,25549332000
0,0,2025,2020,0.2,840,-86,10,1,9,1.1583299038768327,26.48186963218209,7.158884512824547,5.707005545592492,0.1628205388841667,1.2423851978999998,63284202058.51577,403809185420.8413,92401922412.64328,110292792000.0,3907982000.0,24725160000
0,0,2025,2020,0.2,840,-88,10,1,9,0.9931450051020914,26.217185515317656,7.08987854350399,5.45938339581666,0.14036253352083336,1.1733637980166665,54259827267.28359,399839332606.4559,91449549404.977,105489960000.0,3368950000.0,23351540000
