Policies,Emissions,Energy
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -80, 'Scrap age:', 10, 'Regulated EV manufacture:', 0)",49.27394018,7.29535E+11
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -80, 'Scrap age:', 10, 'Regulated EV manufacture:', 1)",41.07432938,7.2598E+11
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 20, 'Scrap age:', 20, 'Regulated EV manufacture:', 0)",136.382356,2.06836E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 20, 'Scrap age:', 20, 'Regulated EV manufacture:', 1)",111.3375261,2.05854E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 20, 'Scrap age:', 18, 'Regulated EV manufacture:', 0)",132.2399766,2.03803E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 20, 'Scrap age:', 18, 'Regulated EV manufacture:', 1)",106.140487,2.02776E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 20, 'Scrap age:', 16, 'Regulated EV manufacture:', 0)",129.5363764,2.02364E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 20, 'Scrap age:', 16, 'Regulated EV manufacture:', 1)",102.0103927,2.01265E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 20, 'Scrap age:', 14, 'Regulated EV manufacture:', 0)",127.9047915,2.02288E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 20, 'Scrap age:', 14, 'Regulated EV manufacture:', 1)",98.8914101,2.01091E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 20, 'Scrap age:', 12, 'Regulated EV manufacture:', 0)",126.3829296,2.02753E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 20, 'Scrap age:', 12, 'Regulated EV manufacture:', 1)",96.30054694,2.01438E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 20, 'Scrap age:', 10, 'Regulated EV manufacture:', 0)",124.6904538,2.03614E+12
